type,id,date,tweet,comments,retweets,likes
fact,1326968002839908353,2020-11-12 19:20:00+00:00,"I extend my deep condolences to the loved ones of the peacekeepers, including 6 American service members, who died on Tiran Island, and wish a speedy recovery to the surviving American. I join all Americans in honoring their sacrifice, as I keep their loved ones in my prayers.",33000,5000,497000
fact,1326557341697839106,2020-11-11 16:08:11+00:00,"Today, we honor the service of those who have worn the uniform of the Armed Forces of the United States. To our proud veterans—I will be a commander in chief who respects your sacrifice, understands your service, and will never betray the values you fought so bravely to defend.",8700,35000,363000
fact,1326344141446373376,2020-11-11 02:01:00+00:00,"We are going to build a health care system that puts you and your family first — and that every American can be proud of.",24700,4000,437000
fact,1326306141056364544,2020-11-10 23:30:00+00:00,"When I’m speaking to foreign leaders, I’m telling them: America is going to be back. We’re going to be back in the game.",37700,16500,632200
fact,1326284750420643846,2020-11-10 22:05:00+00:00,"Come January, we will work quickly with Congress to dramatically ramp up health care protections, get America to universal coverage, and lower health care costs.",12600,227000,305300
fact,1326266378991542272,2020-11-10 20:52:00+00:00,"Beginning on January 20th, Vice President-elect Harris and I are going to do everything in our power to ease the burden of health care on you and your families.",15500,33200,444500
fact,1325890910635384839,2020-11-09 20:00:01+00:00,"I won't be president until January 20th, but my message today to everyone is this: wear a mask.",161700,23900,15000
fact,1325885871875190784,2020-11-09 19:40:00+00:00,"The bottom line: I will spare no effort to turn this pandemic around.",15900,29800,488500
fact,1325880083618426881,2020-11-09 19:17:00+00:00,"The challenge before us right now is still immense and growing, and so is the need for bold action to fight this pandemic.",7700,14400,248300
fact,1325873288711712769,2020-11-09 18:50:00+00:00,"My COVID-19 Transition Advisory Board will advise on detailed plans built on a bedrock of science, and that keep compassion, empathy, and care for every American at its core.",4500,14200,197700
