type,id,date,tweet,comments,retweets,likes
fake,1326926226888544256,2020-11-12 16:34:00+00:00,"“REPORT: DOMINION DELETED 2.7 MILLION TRUMP VOTES NATIONWIDE. DATA ANALYSIS FINDS 221,000 PENNSYLVANIA VOTES SWITCHED FROM PRESIDENT TRUMP TO BIDEN. 941,000 TRUMP VOTES DELETED. STATES USING DOMINION VOTING SYSTEMS SWITCHED 435,000 VOTES FROM TRUMP TO BIDEN.” @ChanelRion @OANN",17300000,24700000,61900000
fake,1326920264203046915,2020-11-12 16:10:18+00:00,".@FoxNews daytime ratings have completely collapsed. Weekend daytime even WORSE. Very sad to watch this happen, but they forgot what made them successful, what got them there. They forgot the Golden Goose. The biggest difference between the 2016 Election, and 2020, was @FoxNews!",9000000,8600000,34800000
fake,1326884956749127680,2020-11-12 13:50:00+00:00,"“OK, I’ve seen enough. What’s going to happen to these guys (McCabe, Comey &amp; the gang of treasonous thugs)? @SenJohnKennedy @MariaBartiromo @TheJusticeDept They, and many others, got caught. DO SOMETHING!!!",3600000,8000000,31800000
fake,1326679385966047236,2020-11-12 00:13:08+00:00,"Nobody wants to report that Pennsylvania and Michigan didn’t allow our Poll Watchers and/or Vote Observers to Watch or Observe. This is responsible for hundreds of thousands of votes that should not be allowed to count. Therefore, I easily win both states. Report the News!",8900000,1600000,41000000
fact,1326673766915641345,2020-11-11 23:50:49+00:00,"I am pleased to announce that I have given my full support and endorsement to Ronna McDaniel to continue heading the Republican National Committee (RNC). With 72 MILLION votes, we received more votes than any sitting President in U.S. history - and we will win!",4100000,7100000,35800000
fake,1326673298692972544,2020-11-11 23:48:57+00:00,"Everyone is asking why the recent presidential polls were so inaccurate when it came to me. Because they are FAKE, just like much of the Lamestream Media!",5800000,8600000,49300000
fact,1326525851752656898,2020-11-11 14:03:03+00:00,"A guy named Al Schmidt, a Philadelphia Commissioner and so-called Republican (RINO), is being used big time by the Fake  News Media to explain how honest things were with respect to the Election in Philadelphia. He refuses to look at a mountain of corruption &amp; dishonesty. We win!",6700000,7400000,33400000
fake,1326519025552265216,2020-11-11 13:35:55+00:00,"The Fake Pollsters at @ABC/@washingtonpost produced a possibly illegal suppression Poll just before the Election showing me down 17 points in Wisconsin when, in fact, on Election Day, the race was even - &amp; we are now preparing to win the state. Many such “deplorable” instances!",3800000,6900000,29800000
fact,1326342742801326083,2020-11-11 01:55:26+00:00,"Andrew McCabe was exposed for who he is today in the U.S. Senate. He was totally destroyed - an ignorant fool. The great people of the FBI must make sure that he and his former boss, James Comey, pay the price for what they have done to the reputation of the FBI.",2000000,6600000,29200000
fake,1326327582074220544,2020-11-11 00:55:12+00:00,"“I don’t care what state you’re in, this computer voting system is wide open to fraud and intervention.” @LouDobbs  True, and wait until you see what’s coming!",4800000,9200000,39900000
fake,1326304091035881472,2020-11-10 23:21:51+00:00,"Ballot Corruption will be exposed tonight at 9:00pmE on @SeanHannity on @FoxNews!",5800000,10800000,45600000
fact,1326211507982659590,2020-11-10 17:13:57+00:00,"Pennsylvania Party Leadership votes are this week. I hope they pick very tough and smart fighters. We will WIN!!",5600000,5800,40200000
fact,1326211428999720962,2020-11-10 17:13:39+00:00,"Nate Simington, a very smart and qualified individual, is having his Senate hearing today. Republicans will hopefully confirm him to the FCC ASAP! We need action NOW on this very important nomination!! @SenatorWicker @MarshaBlackburn @senatemajldr",3500000,1500,18800000
fact,1326194143132082178,2020-11-10 16:04:57+00:00,"Republicans, don’t let Andrew McCabe continue to get away with totally criminal activity. What he did should never be allowed to happen to our Country again. FIGHT FOR JUSTICE!",35400,74600,346400
fact,1326190800070471682,2020-11-10 15:51:40+00:00,"Highly Respected Ken Starr: “Pennsylvania’s three-day extension of the mail-in ballot deadline is a Constitutional Travesty.” Legal scholars agree!",35000,65800,315800
fake,1326186297157963777,2020-11-10 15:33:47+00:00,"BALLOT COUNTING ABUSE!",59100,93800,524200
fake,1326186126709821440,2020-11-10 15:33:06+00:00,"WATCH FOR MASSIVE BALLOT COUNTING ABUSE AND, JUST LIKE THE EARLY VACCINE, REMEMBER I TOLD YOU SO!",33400,84100,419400
fake,1326158760826560515,2020-11-10 13:44:22+00:00,"WE WILL WIN!",226300,250500,1000000
fact,1326158564449275910,2020-11-10 13:43:35+00:00,"WE ARE MAKING BIG PROGRESS. RESULTS START TO COME IN NEXT WEEK. MAKE AMERICA GREAT AGAIN!",59900,123300,637600
fact,1326149041248407552,2020-11-10 13:05:44+00:00,"“Only because of President Trump, we are going to have a Vaccine by the end of the year.”  Ronny Jackson, Texas Congressman-Elect",46600,64200,374900
fact,1326147913542668291,2020-11-10 13:01:15+00:00,"“President Trump told us for some time we would be getting a Vaccine by the end of the year and people laughed at him, and here we are with Pfizer getting FDA approval by the end of this month. He was right.” @MariaBartiromo",21700,61500,302100
fact,1325962203346972678,2020-11-10 00:43:19+00:00,"The @US_FDA and the Democrats didn’t want to have me get a Vaccine WIN, prior to the election, so instead it came out five days later – As I’ve said all along!",55500,81700,377700
fact,1325961672343875585,2020-11-10 00:41:12+00:00,"If Joe Biden were President, you wouldn’t have the Vaccine for another four years, nor would the @US_FDA have ever approved it so quickly. The bureaucracy would have destroyed millions of lives!",50000,65200,332000
fact,1325961445062938625,2020-11-10 00:40:18+00:00,"As I have long said, @Pfizer and the others would only announce a Vaccine after the Election, because they didn’t have the courage to do it before. Likewise, the @US_FDA should have announced it earlier, not for political purposes, but for saving lives!",28200,66700,291600
fact,1325961114514038786,2020-11-10 00:38:59+00:00,".@FoxNews, @QuinnipiacPoll, ABC/WaPo, NBC/WSJ were so inaccurate with their polls on me, that it really is tampering with an Election. They were so far off in their polling, and in their attempt to suppress - that they should be called out for Election Interference...",21600,59400,253900
fake,1325896369534607360,2020-11-09 20:21:43+00:00,"Georgia will be a big presidential win, as it was the night of the Election!",79100,110500,636500
fake,1325895380983275524,2020-11-09 20:17:47+00:00,"Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.",52300,93400,478300
fact,1325891490636320768,2020-11-09 20:02:19+00:00,"Wisconsin is looking very good. Needs a little time statutorily. Will happen soon! @Reince @SeanDuffyWI",2700000,6600000,34700000
fact,1325889532840062976,2020-11-09 19:54:33+00:00,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp &amp; @AdamLaxalt are finding things that, when released, will be absolutely shocking!",3700000,9000000,36200000
fact,1325884977112883200,2020-11-09 19:36:26+00:00,"The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!",4500000,11300000,49200000
fact,1325859406349799424,2020-11-09 17:54:50+00:00,"I am pleased to announce that Christopher C. Miller, the highly respected Director of the National Counterterrorism Center (unanimously confirmed by the Senate), will be Acting Secretary of Defense, effective immediately..",3600000,8000000,38300000
fact,1325778096151203843,2020-11-09 12:31:44+00:00,"STOCK MARKET UP BIG, VACCINE COMING SOON. REPORT 90% EFFECTIVE. SUCH GREAT NEWS!",12100000,12200000,71800000
fact,1325563462433509376,2020-11-08 22:18:51+00:00,"Watch @marklevinshow at 8:00 P.M.  Will discuss the Mail-In Ballot Hoax!",6500000,8200000,40400000
fact,1325511603157159942,2020-11-08 18:52:47+00:00,"Since when does the Lamestream Media call who our next president will be? We have all learned a lot in the last two weeks!",17200000,15500000,68800000
fact,1325442336957018112,2020-11-08 14:17:33+00:00,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.",14800000,13000000,51400000
fact,1325432465415163904,2020-11-08 13:38:19+00:00,"“We should look at the votes. We’re just beginning the tabulation stage. We should look at these allegations. We’re seeing a number of affidavits that there has been voter fraud. We have a history in this country of election problems. In Pennsylvania you had an order by a...",6500000,9000000,38900000
fake,1325195021339987969,2020-11-07 21:54:48+00:00,"71,000,000 Legal Votes. The most EVER for a sitting President!",46300000,24600000,97600000
fake,1325194709443080192,2020-11-07 21:53:34+00:00,"THE OBSERVERS WERE NOT ALLOWED INTO THE COUNTING ROOMS. I WON THE ELECTION, GOT 71,000,000 LEGAL VOTES. BAD THINGS HAPPENED WHICH OUR OBSERVERS WERE NOT ALLOWED TO SEE. NEVER HAPPENED BEFORE. MILLIONS OF MAIL-IN BALLOTS WERE SENT TO PEOPLE WHO NEVER ASKED FOR THEM!",29000000,25900000,68200000
fake,1325099845045071873,2020-11-07 15:36:36+00:00,"I WON THIS ELECTION, BY A LOT!",97400000,88400000,118600000
fact,1325087011464749056,2020-11-07 14:45:37+00:00,"Big press conference today in Philadelphia at Four Seasons Total Landscaping — 11:30am!",10000000,9000000,46900000
fake,1325065540390559745,2020-11-07 13:20:18+00:00,"Tens of thousands of votes were illegally received after 8 P.M. on Tuesday, Election Day, totally and easily changing the results in Pennsylvania and certain other razor thin states. As a separate matter, hundreds of thousands of Votes were illegally not allowed to be OBSERVED...",,,
fake,1324901123996741634,2020-11-07 02:26:58+00:00,"“We need an explanation as to how these numbers have been running up for the last two or three days.” Matthew Whitaker. @EveningEdit",6400000,1600000,37500000
fake,1324855496722026498,2020-11-06 23:25:39+00:00,"I had such a big lead in all of these states late into election night, only to see the leads miraculously disappear as the days went by. Perhaps these leads will return as our legal proceedings move forward!",18300000,14700000,57600000
fake,1324846580147642369,2020-11-06 22:50:13+00:00,"Joe Biden should not wrongfully claim the office of the President. I could make that claim also. Legal proceedings are just now beginning!",15500000,16700000,67200000
fake,1324768077939118083,2020-11-06 17:38:17+00:00,"Where are the missing military ballots in Georgia? What happened to them?",11900000,3300000,64800000
fake,1324752659996397575,2020-11-06 16:37:01+00:00,"With the attack by the Radical Left Dems on the Republican Senate, the Presidency becomes even more important!",7700000,7800000,41200000
fake,1324750555059728384,2020-11-06 16:28:39+00:00,"“This is what we know. We have to go back to the state level and how this morass came to be in the first instance. The Governor, Wolf, and the State Supreme Court, flagrantly violated the Constitution of the U.S. The power to set these rules and regulations is vested in the",3700000,6500000,26300000
fake,1324730186798161925,2020-11-06 15:07:43+00:00,"“Philadelpiha has got a rotten history on election integrity.” @Varneyco @FoxBusiness",5100000,2300000,30900000
fake,1324613375213621248,2020-11-06 07:23:33+00:00,"Twitter is out of control, made possible through the government gift of Section 230!",8900000,2300000,49400000
fake,1324613181466173440,2020-11-06 07:22:47+00:00,"I easily WIN the Presidency of the United States with LEGAL VOTES CAST. The OBSERVERS were not allowed, in any way, shape, or form, to do their job and therefore, votes accepted during this period must be determined to be ILLEGAL VOTES. U.S. Supreme Court should decide!",,,
fake,1324612560646262785,2020-11-06 07:20:19+00:00,"So now the Democrats are working to gain control of the U.S. Senate through their actions on John James, David Perdue, and more. Would End the Filibuster, “Life”, 2A, and would Pack and Rotate the Court. Presidency becomes even more important. We will win!",5800000,7600000,33800000
